income_code,age_range,gender,ethnicity,education,population
H,55_64,male,black,< Than HS Diploma,6571
J,75_84,male,asian,Bachelor Degree,3172
K,75_84,male,islander,Some College,9
L,35_44,male,asian,Bachelor Degree,51128
B,25_34,female,black,Some College,174253
L,65_74,female,black,Bachelor Degree,6906
L,85_120,male,hispanic,Graduate Degree,1076
H,75_84,male,islander,HS Diploma,35
D,55_64,female,black,< Than HS Diploma,22660
D,18_24,female,black,Graduate Degree,14953
C,18_24,male,black,Graduate Degree,6681
I,85_120,male,hispanic,Bachelor Degree,308
B,55_64,female,islander,< Than HS Diploma,68
J,75_84,male,islander,< Than HS Diploma,4
A,45_54,male,hispanic,Graduate Degree,3887
L,45_54,male,black,HS Diploma,6923
A,25_34,female,islander,Some College,937
A,55_64,female,islander,Graduate Degree,51
H,75_84,male,islander,Bachelor Degree,24
A,55_64,female,black,Some College,94125
E,45_54,male,hispanic,< Than HS Diploma,162543
L,18_24,female,asian,Bachelor Degree,11620
D,35_44,female,black,< Than HS Diploma,19199
L,55_64,female,asian,Some College,5793
A,35_44,male,islander,< Than HS Diploma,99
C,85_120,male,islander,Some College,24
H,45_54,female,black,Bachelor Degree,34914
B,55_64,female,white,< Than HS Diploma,72721
H,18_24,male,asian,Some College,15253
J,75_84,female,asian,Bachelor Degree,4772
L,75_84,male,asian,< Than HS Diploma,744
A,25_34,female,black,Some College,195796
E,55_64,female,islander,Some College,535
J,45_54,female,white,Some College,160734
G,55_64,male,black,Some College,38104
A,75_84,female,islander,Graduate Degree,35
G,18_24,male,hispanic,Some College,61703
B,55_64,male,white,< Than HS Diploma,56868
E,65_74,male,black,Graduate Degree,29324
B,35_44,male,black,Graduate Degree,8868
F,45_54,female,black,Some College,99185
I,18_24,male,hispanic,HS Diploma,4631
C,25_34,female,black,< Than HS Diploma,59913
H,25_34,female,asian,< Than HS Diploma,1938
B,55_64,female,asian,Some College,5698
F,25_34,female,islander,Some College,1872
G,65_74,female,black,Bachelor Degree,16790
L,75_84,male,hispanic,< Than HS Diploma,4917
F,35_44,female,hispanic,HS Diploma,88961
K,35_44,female,asian,Bachelor Degree,27711
I,18_24,male,white,HS Diploma,26369
C,55_64,male,islander,HS Diploma,114
D,65_74,female,hispanic,HS Diploma,63419
E,25_34,male,hispanic,< Than HS Diploma,655604
C,45_54,female,hispanic,Bachelor Degree,6923
L,18_24,male,black,Graduate Degree,2836
E,18_24,female,asian,Some College,23419
D,65_74,female,white,Bachelor Degree,275315
H,45_54,male,asian,Some College,31258
I,65_74,male,white,HS Diploma,53211
J,75_84,male,white,Bachelor Degree,23525
F,35_44,male,asian,Graduate Degree,29227
K,35_44,female,hispanic,Graduate Degree,5597
F,25_34,male,islander,Graduate Degree,471
C,55_64,female,islander,< Than HS Diploma,48
G,18_24,male,islander,Bachelor Degree,35
A,45_54,female,black,HS Diploma,249328
D,25_34,male,white,Graduate Degree,246726
K,18_24,male,white,HS Diploma,33992
A,45_54,female,black,Bachelor Degree,36848
U,75_84,female,white,Some College,2
E,35_44,female,white,Graduate Degree,161326
C,18_24,female,black,Bachelor Degree,16267
B,18_24,female,asian,< Than HS Diploma,1276
K,65_74,female,asian,HS Diploma,803
H,45_54,female,asian,< Than HS Diploma,1467
F,25_34,female,islander,Bachelor Degree,660
C,55_64,female,islander,Graduate Degree,26
G,18_24,female,black,Some College,54938
F,25_34,female,black,Some College,142329
J,55_64,male,asian,HS Diploma,4781
H,18_24,male,islander,HS Diploma,62
E,85_120,female,islander,Graduate Degree,7
D,55_64,male,black,Some College,88620
F,55_64,female,black,Graduate Degree,27436
B,35_44,male,black,Bachelor Degree,16265
J,45_54,male,hispanic,< Than HS Diploma,16623
K,55_64,female,islander,Some College,77
J,85_120,male,hispanic,Bachelor Degree,249
E,35_44,female,white,Bachelor Degree,594565
C,35_44,female,white,Graduate Degree,51220
F,85_120,male,black,Bachelor Degree,2970
F,18_24,male,islander,HS Diploma,216
K,55_64,female,black,< Than HS Diploma,537
K,18_24,female,asian,Bachelor Degree,7388
F,85_120,female,black,< Than HS Diploma,6358
C,55_64,male,asian,HS Diploma,9299
B,35_44,male,islander,< Than HS Diploma,40
G,85_120,female,white,Bachelor Degree,35682
H,55_64,male,black,Some College,25131
H,65_74,female,hispanic,Graduate Degree,3553
C,35_44,male,islander,Some College,180
A,75_84,male,black,Some College,13622
G,35_44,female,black,Some College,49614
L,45_54,female,black,Graduate Degree,8771
D,18_24,male,asian,< Than HS Diploma,1311
J,25_34,male,islander,Some College,253
E,25_34,male,white,Bachelor Degree,609840
L,55_64,male,asian,Graduate Degree,29526
I,65_74,female,white,Graduate Degree,47078
J,45_54,male,black,< Than HS Diploma,2882
E,35_44,female,hispanic,Graduate Degree,28259
G,85_120,female,asian,Some College,1307
B,45_54,female,islander,Graduate Degree,35
L,75_84,female,islander,HS Diploma,31
K,85_120,female,white,Bachelor Degree,16755
L,25_34,male,black,< Than HS Diploma,3062
K,45_54,male,black,HS Diploma,4884
K,75_84,female,hispanic,Some College,920
E,18_24,male,islander,Some College,1093
H,45_54,male,black,Graduate Degree,19842
F,45_54,male,black,< Than HS Diploma,25920
G,85_120,female,hispanic,< Than HS Diploma,5612
I,18_24,male,black,< Than HS Diploma,1329
H,85_120,female,hispanic,Graduate Degree,504
U,35_44,female,black,HS Diploma,2
A,65_74,female,white,HS Diploma,425383
B,25_34,male,hispanic,Some College,38359
E,85_120,female,asian,Graduate Degree,1388
B,25_34,male,hispanic,HS Diploma,55893
B,18_24,female,black,Graduate Degree,14324
I,65_74,female,hispanic,HS Diploma,5775
L,35_44,female,asian,HS Diploma,3949
K,65_74,male,asian,Some College,1353
G,55_64,male,islander,Some College,255
D,85_120,male,hispanic,HS Diploma,7680
D,75_84,male,black,Bachelor Degree,15847
J,65_74,female,hispanic,Bachelor Degree,1415
K,85_120,male,asian,HS Diploma,231
C,45_54,female,white,HS Diploma,359381
K,25_34,male,white,HS Diploma,43971
E,65_74,male,asian,Bachelor Degree,30034
B,45_54,female,asian,Bachelor Degree,7478
J,25_34,female,asian,< Than HS Diploma,1243
U,55_64,male,black,< Than HS Diploma,4
L,55_64,male,white,Graduate Degree,225511
J,25_34,female,asian,Bachelor Degree,37290
A,85_120,male,white,Bachelor Degree,30193
D,65_74,female,black,< Than HS Diploma,38361
E,55_64,male,white,Some College,922539
G,75_84,male,white,HS Diploma,93592
H,25_34,female,white,Graduate Degree,163790
A,25_34,female,hispanic,Bachelor Degree,12896
H,75_84,female,white,Graduate Degree,24244
E,65_74,male,black,< Than HS Diploma,29363
L,45_54,female,islander,Some College,176
C,45_54,female,white,Some College,237778
H,45_54,male,hispanic,< Than HS Diploma,54872
I,85_120,male,islander,< Than HS Diploma,7
G,18_24,female,white,Bachelor Degree,68829
F,85_120,male,hispanic,Some College,1274
L,85_120,male,hispanic,< Than HS Diploma,2081
F,18_24,female,asian,< Than HS Diploma,999
K,85_120,male,black,Some College,317
G,55_64,male,white,Graduate Degree,221217
E,25_34,male,asian,HS Diploma,54223
H,85_120,male,hispanic,HS Diploma,832
J,45_54,female,asian,< Than HS Diploma,741
E,65_74,male,white,< Than HS Diploma,178226
C,55_64,female,white,Some College,243379
D,18_24,male,black,Some College,122846
A,65_74,female,white,Some College,127131
J,65_74,female,white,Some College,25509
B,75_84,female,asian,Bachelor Degree,4937
I,55_64,female,white,Some College,87166
E,55_64,female,black,Bachelor Degree,73830
K,18_24,male,hispanic,< Than HS Diploma,2460
D,35_44,female,asian,Graduate Degree,9297
I,85_120,female,black,< Than HS Diploma,1267
I,85_120,female,islander,Bachelor Degree,7
G,35_44,female,hispanic,Bachelor Degree,31891
K,65_74,female,black,Graduate Degree,1683
D,25_34,female,hispanic,Bachelor Degree,27689
L,65_74,male,black,HS Diploma,2739
B,45_54,male,asian,Bachelor Degree,4510
H,25_34,male,hispanic,Graduate Degree,35820
D,55_64,male,islander,Bachelor Degree,51
J,75_84,female,islander,< Than HS Diploma,4
D,65_74,male,hispanic,Bachelor Degree,6699
F,45_54,female,asian,< Than HS Diploma,2537
C,35_44,male,islander,Bachelor Degree,44
F,55_64,male,white,Some College,670265
B,18_24,male,white,Bachelor Degree,16504
J,45_54,male,white,Some College,144190
E,25_34,female,black,Some College,223557
E,55_64,female,black,Some College,98353
A,75_84,female,asian,< Than HS Diploma,8279
D,35_44,female,islander,Some College,671
H,18_24,male,islander,Some College,383
J,18_24,female,islander,HS Diploma,57
F,18_24,male,white,HS Diploma,122283
F,45_54,male,asian,Some College,38225
H,65_74,female,asian,< Than HS Diploma,715
F,85_120,female,white,HS Diploma,116576
F,35_44,female,white,HS Diploma,303475
E,25_34,female,white,Bachelor Degree,524154
F,45_54,female,asian,HS Diploma,19089
A,45_54,female,white,HS Diploma,439325
F,25_34,female,white,HS Diploma,640066
K,45_54,female,black,Graduate Degree,7315
C,45_54,female,black,Bachelor Degree,22383
F,18_24,female,black,Some College,98314
F,45_54,male,black,HS Diploma,84757
I,35_44,male,asian,Some College,16265
G,18_24,female,hispanic,Graduate Degree,5722
E,85_120,male,islander,< Than HS Diploma,29
C,45_54,female,islander,Bachelor Degree,55
D,75_84,male,asian,< Than HS Diploma,6633
C,55_64,female,white,HS Diploma,515310
A,25_34,female,white,HS Diploma,683514
E,25_34,female,black,HS Diploma,209315
A,45_54,female,asian,Bachelor Degree,9645
C,18_24,female,islander,HS Diploma,163
F,75_84,female,islander,Graduate Degree,44
I,18_24,female,islander,< Than HS Diploma,11
I,25_34,female,white,< Than HS Diploma,26796
I,55_64,female,hispanic,Graduate Degree,5018
J,35_44,male,black,Graduate Degree,3573
B,75_84,male,islander,Some College,42
B,65_74,female,islander,< Than HS Diploma,95
D,65_74,male,black,HS Diploma,131078
C,25_34,male,white,Graduate Degree,120406
F,85_120,male,hispanic,Graduate Degree,1822
G,55_64,male,black,< Than HS Diploma,10410
K,25_34,female,black,Graduate Degree,7550
F,65_74,male,islander,< Than HS Diploma,42
K,45_54,female,black,Some College,9431
C,35_44,female,islander,Some College,407
U,85_120,male,white,< Than HS Diploma,2
D,85_120,female,hispanic,Graduate Degree,2515
C,55_64,male,asian,Graduate Degree,3652
G,35_44,male,islander,Some College,394
A,45_54,female,islander,< Than HS Diploma,77
U,25_34,female,black,HS Diploma,2
K,65_74,male,white,Some College,31227
A,25_34,female,black,Graduate Degree,58373
A,25_34,female,asian,< Than HS Diploma,7346
H,85_120,male,asian,< Than HS Diploma,400
I,65_74,male,islander,< Than HS Diploma,15
B,75_84,female,hispanic,Bachelor Degree,5062
G,85_120,female,hispanic,Bachelor Degree,563
C,85_120,male,islander,< Than HS Diploma,29
I,35_44,female,white,Bachelor Degree,240797
E,55_64,female,hispanic,Bachelor Degree,27740
G,65_74,female,asian,HS Diploma,5863
J,85_120,female,black,Graduate Degree,504
E,25_34,female,islander,Bachelor Degree,574
C,45_54,male,islander,HS Diploma,108
L,45_54,female,islander,Graduate Degree,101
C,45_54,male,islander,Bachelor Degree,22
A,85_120,male,islander,HS Diploma,37
I,35_44,male,hispanic,< Than HS Diploma,20181
F,85_120,male,islander,HS Diploma,22
F,55_64,male,black,HS Diploma,107175
L,25_34,male,white,Some College,223883
J,45_54,female,black,Bachelor Degree,16137
F,65_74,female,black,Bachelor Degree,32435
A,35_44,female,hispanic,Bachelor Degree,15987
F,75_84,female,asian,Graduate Degree,3210
K,18_24,male,white,< Than HS Diploma,4074
D,65_74,female,islander,HS Diploma,495
J,75_84,female,white,Graduate Degree,20434
E,75_84,female,asian,< Than HS Diploma,3599
G,35_44,female,white,< Than HS Diploma,41756
F,65_74,male,asian,Bachelor Degree,25126
D,25_34,male,black,Some College,166610
H,55_64,female,white,Bachelor Degree,224666
J,45_54,male,black,Bachelor Degree,12995
C,35_44,female,asian,HS Diploma,12789
I,75_84,male,asian,Graduate Degree,4019
I,45_54,female,islander,Bachelor Degree,77
I,85_120,female,islander,HS Diploma,29
G,45_54,male,white,< Than HS Diploma,48160
D,45_54,female,black,Graduate Degree,21327
G,45_54,female,asian,< Than HS Diploma,1313
F,35_44,female,asian,Some College,33075
E,75_84,male,islander,Bachelor Degree,86
H,18_24,male,islander,Graduate Degree,22
D,75_84,male,white,Bachelor Degree,170491
D,25_34,male,black,HS Diploma,107239
F,35_44,male,hispanic,HS Diploma,83195
L,55_64,male,asian,HS Diploma,4211
K,55_64,male,hispanic,< Than HS Diploma,5821
A,75_84,female,islander,Some College,101
L,75_84,male,islander,Graduate Degree,20
I,65_74,female,islander,Some College,55
E,55_64,male,hispanic,HS Diploma,150247
A,85_120,male,black,Some College,5933
I,75_84,male,asian,HS Diploma,1538
E,18_24,male,hispanic,Bachelor Degree,6305
G,18_24,female,asian,HS Diploma,3593
B,65_74,female,asian,HS Diploma,10028
H,55_64,male,islander,Graduate Degree,95
I,18_24,male,asian,HS Diploma,1489
L,25_34,male,islander,HS Diploma,161
L,25_34,female,black,Graduate Degree,13275
L,85_120,female,white,< Than HS Diploma,7526
K,55_64,male,black,Bachelor Degree,8417
C,45_54,male,asian,< Than HS Diploma,2277
K,18_24,male,black,Graduate Degree,1632
D,65_74,female,white,HS Diploma,953735
F,65_74,male,white,Some College,334906
F,35_44,male,black,< Than HS Diploma,18755
G,75_84,male,asian,Some College,4039
A,45_54,female,white,Some College,254998
E,25_34,female,asian,Bachelor Degree,80337
J,35_44,male,hispanic,Bachelor Degree,8446
H,55_64,male,islander,Some College,253
D,35_44,male,asian,Bachelor Degree,29766
C,45_54,female,hispanic,HS Diploma,72226
K,75_84,male,white,Some College,22565
B,35_44,female,islander,HS Diploma,374
D,25_34,female,black,Some College,194187
L,45_54,female,hispanic,HS Diploma,18003
C,18_24,female,black,< Than HS Diploma,36678
D,85_120,male,hispanic,Bachelor Degree,2163
U,18_24,male,white,Some College,2
G,55_64,female,white,Some College,325448
K,25_34,female,black,Bachelor Degree,14051
I,35_44,female,asian,Graduate Degree,13594
G,85_120,female,asian,Bachelor Degree,2882
J,85_120,female,black,HS Diploma,1430
I,65_74,male,white,Some College,53902
J,85_120,female,hispanic,< Than HS Diploma,2506
B,35_44,male,islander,HS Diploma,125
E,35_44,male,white,Some College,977610
D,18_24,female,white,Bachelor Degree,50690
K,35_44,female,white,HS Diploma,24255
G,75_84,female,black,Graduate Degree,3802
J,85_120,female,hispanic,HS Diploma,785
H,35_44,female,islander,Bachelor Degree,484
A,55_64,male,white,Some College,187497
B,55_64,female,white,Some College,240418
B,75_84,female,white,Graduate Degree,97700
H,65_74,female,black,< Than HS Diploma,2660
G,75_84,female,asian,Graduate Degree,2776
H,45_54,female,white,Graduate Degree,180180
D,25_34,female,black,< Than HS Diploma,47012
I,55_64,female,asian,Bachelor Degree,8815
K,25_34,female,hispanic,Some College,20603
H,55_64,female,asian,Some College,10034
D,18_24,female,hispanic,Bachelor Degree,6288
C,75_84,female,asian,HS Diploma,12839
F,35_44,female,islander,Some College,1003
A,85_120,female,islander,< Than HS Diploma,75
E,18_24,female,islander,Graduate Degree,59
D,25_34,female,hispanic,HS Diploma,240902
D,85_120,female,asian,HS Diploma,6886
D,55_64,male,islander,< Than HS Diploma,24
C,55_64,male,white,HS Diploma,338406
L,55_64,female,white,HS Diploma,68136
L,18_24,male,black,Some College,13290
F,85_120,female,hispanic,Graduate Degree,1366
H,45_54,female,islander,HS Diploma,383
J,35_44,female,white,Graduate Degree,70994
B,55_64,female,hispanic,Some College,20577
E,75_84,female,black,Bachelor Degree,17101
L,25_34,male,black,Some College,16790
B,18_24,male,islander,Some College,282
C,65_74,female,hispanic,HS Diploma,40242
B,18_24,female,hispanic,Graduate Degree,3454
B,18_24,male,black,HS Diploma,23338
D,18_24,male,black,Graduate Degree,11895
C,45_54,female,asian,Graduate Degree,4002
U,85_120,female,hispanic,Some College,2
L,18_24,male,hispanic,< Than HS Diploma,4728
D,75_84,female,asian,Bachelor Degree,13202
G,25_34,male,hispanic,< Than HS Diploma,270554
D,18_24,female,islander,Graduate Degree,37
C,35_44,female,islander,< Than HS Diploma,66
J,55_64,male,asian,Graduate Degree,19285
A,18_24,female,black,Some College,199505
G,55_64,male,asian,HS Diploma,11447
D,25_34,male,hispanic,Graduate Degree,37875
E,75_84,male,black,Bachelor Degree,16581
C,55_64,male,hispanic,Bachelor Degree,2625
A,18_24,male,asian,Bachelor Degree,4858
U,25_34,male,hispanic,< Than HS Diploma,2
U,55_64,female,hispanic,< Than HS Diploma,2
E,75_84,female,black,Some College,20339
A,25_34,male,asian,Bachelor Degree,19028
D,45_54,female,islander,Bachelor Degree,77
H,75_84,female,islander,Graduate Degree,13
G,65_74,female,hispanic,< Than HS Diploma,22970
E,45_54,female,black,HS Diploma,156418
D,85_120,male,asian,Some College,2796
I,65_74,male,black,< Than HS Diploma,2004
F,18_24,male,asian,Some College,25755
A,45_54,female,hispanic,Graduate Degree,5661
K,75_84,female,asian,Graduate Degree,1483
L,85_120,male,asian,Bachelor Degree,2429
E,85_120,female,black,HS Diploma,25876
A,75_84,female,asian,Some College,3450
K,25_34,female,islander,HS Diploma,95
E,18_24,male,islander,Graduate Degree,73
H,75_84,male,white,< Than HS Diploma,21316
F,35_44,female,hispanic,Graduate Degree,25276
K,18_24,male,white,Graduate Degree,26838
I,75_84,male,asian,Some College,1685
B,75_84,female,asian,HS Diploma,12467
K,55_64,female,black,Some College,5152
A,18_24,female,asian,Graduate Degree,5357
G,85_120,male,hispanic,Bachelor Degree,618
A,65_74,male,white,Graduate Degree,49775
K,85_120,female,white,HS Diploma,9456
G,25_34,female,hispanic,Some College,86814
H,45_54,female,hispanic,HS Diploma,60364
E,85_120,male,islander,Some College,53
I,75_84,female,white,Bachelor Degree,53060
K,75_84,male,white,Bachelor Degree,31942
I,55_64,female,black,< Than HS Diploma,1531
H,35_44,male,islander,Some College,497
G,65_74,male,white,Some College,207640
J,25_34,female,white,Some College,168106
E,45_54,male,islander,HS Diploma,532
I,45_54,female,asian,Bachelor Degree,18713
J,18_24,male,islander,Bachelor Degree,18
U,25_34,female,hispanic,Some College,11
C,75_84,male,islander,< Than HS Diploma,84
A,45_54,female,white,Bachelor Degree,88409
C,25_34,male,black,HS Diploma,78166
I,75_84,female,asian,Some College,2035
D,25_34,male,islander,< Than HS Diploma,172
E,75_84,female,islander,Some College,172
E,75_84,female,white,< Than HS Diploma,117469
J,55_64,male,white,Graduate Degree,159414
C,35_44,male,hispanic,HS Diploma,39241
E,25_34,male,black,Some College,264009
C,25_34,female,asian,Graduate Degree,14740
H,75_84,male,hispanic,Bachelor Degree,656
A,45_54,male,islander,Bachelor Degree,24
F,85_120,female,asian,Bachelor Degree,3813
D,85_120,male,asian,< Than HS Diploma,2519
A,65_74,male,black,Some College,15646
F,18_24,male,asian,Graduate Degree,5366
G,35_44,female,asian,Some College,21593
I,85_120,female,islander,Some College,11
B,35_44,female,white,< Than HS Diploma,78522
G,75_84,female,black,Some College,7227
D,35_44,female,white,Bachelor Degree,272923
H,85_120,male,white,Bachelor Degree,14749
A,65_74,female,islander,< Than HS Diploma,172
I,75_84,female,islander,Graduate Degree,15
L,25_34,female,islander,Graduate Degree,167
C,45_54,male,white,Bachelor Degree,42486
L,55_64,female,white,Bachelor Degree,213085
J,35_44,female,white,HS Diploma,36619
D,55_64,female,black,Some College,94453
F,55_64,female,white,Graduate Degree,231284
A,25_34,male,white,Graduate Degree,135612
D,25_34,male,islander,Graduate Degree,242
D,45_54,male,white,HS Diploma,388425
C,75_84,male,white,Some College,188065
B,18_24,female,asian,HS Diploma,5185
C,18_24,male,asian,HS Diploma,2713
J,85_120,female,islander,HS Diploma,24
B,45_54,female,white,Some College,230243
J,25_34,female,islander,Bachelor Degree,167
I,55_64,male,black,Some College,7357
D,45_54,male,black,< Than HS Diploma,38619
J,65_74,male,black,Graduate Degree,1826
K,25_34,female,asian,< Than HS Diploma,504
G,65_74,male,islander,HS Diploma,161
E,85_120,male,black,< Than HS Diploma,13264
L,35_44,male,black,Graduate Degree,3788
U,45_54,female,black,HS Diploma,2
F,45_54,male,asian,HS Diploma,23857
F,55_64,male,hispanic,< Than HS Diploma,99458
K,55_64,female,white,Some College,82137
C,35_44,female,black,Graduate Degree,20163
C,18_24,male,black,Bachelor Degree,7249
I,65_74,female,islander,HS Diploma,77
U,55_64,male,white,HS Diploma,4
L,85_120,female,islander,HS Diploma,4
G,25_34,male,white,Bachelor Degree,531159
E,55_64,male,black,Some College,147059
I,85_120,male,asian,Graduate Degree,1324
C,18_24,female,black,Graduate Degree,11139
H,85_120,female,asian,Graduate Degree,530
E,85_120,female,hispanic,Graduate Degree,2057
H,18_24,female,islander,Bachelor Degree,44
H,65_74,male,islander,< Than HS Diploma,20
D,65_74,female,hispanic,Bachelor Degree,13079
F,75_84,female,black,< Than HS Diploma,11011
C,25_34,female,islander,HS Diploma,1010
I,45_54,male,black,Bachelor Degree,7977
H,65_74,female,black,Bachelor Degree,6970
B,85_120,male,islander,< Than HS Diploma,13
L,55_64,male,islander,< Than HS Diploma,7
J,85_120,female,white,Bachelor Degree,18253
B,85_120,female,black,HS Diploma,71355
A,45_54,female,hispanic,< Than HS Diploma,127904
F,65_74,male,hispanic,Bachelor Degree,10283
C,18_24,male,islander,Some College,286
K,25_34,male,asian,Graduate Degree,35328
H,18_24,male,white,HS Diploma,46913
A,55_64,female,hispanic,Some College,18110
L,18_24,female,asian,< Than HS Diploma,273
J,18_24,female,islander,Bachelor Degree,24
L,18_24,male,white,Some College,198568
B,85_120,male,white,Some College,74785
K,85_120,male,white,Graduate Degree,14430
H,65_74,male,asian,Bachelor Degree,9438
E,45_54,female,white,< Than HS Diploma,66440
G,18_24,male,asian,Graduate Degree,4063
B,18_24,female,islander,Some College,550
B,35_44,female,islander,< Than HS Diploma,106
A,35_44,female,hispanic,< Than HS Diploma,187187
D,65_74,male,asian,Bachelor Degree,10311
A,55_64,male,hispanic,Graduate Degree,4239
A,55_64,male,islander,HS Diploma,167
F,75_84,male,islander,Bachelor Degree,46
F,35_44,female,black,Graduate Degree,26136
E,35_44,male,black,< Than HS Diploma,43287
I,25_34,male,hispanic,Some College,29319
J,85_120,female,islander,Graduate Degree,2
E,65_74,male,asian,Some College,13805
F,35_44,female,hispanic,Bachelor Degree,52430
I,18_24,male,white,Graduate Degree,20269
F,85_120,male,black,Graduate Degree,3463
I,75_84,male,asian,< Than HS Diploma,781
C,55_64,female,white,< Than HS Diploma,55561
L,25_34,female,white,Some College,194099
G,85_120,male,white,Bachelor Degree,33810
I,45_54,male,white,HS Diploma,56764
F,65_74,female,white,< Than HS Diploma,58733
D,18_24,female,white,HS Diploma,162015
F,85_120,male,black,< Than HS Diploma,5214
D,75_84,female,hispanic,< Than HS Diploma,76582
L,18_24,male,white,Bachelor Degree,60764
H,45_54,male,asian,Graduate Degree,30217
J,45_54,female,asian,Bachelor Degree,32589
K,85_120,male,white,Bachelor Degree,13028
D,65_74,male,asian,Some College,7172
I,85_120,male,black,< Than HS Diploma,847
H,75_84,female,asian,HS Diploma,2363
F,65_74,female,islander,Some College,169
H,85_120,male,islander,< Than HS Diploma,2
K,65_74,female,black,Bachelor Degree,3841
C,25_34,male,islander,HS Diploma,394
K,85_120,female,islander,Bachelor Degree,7
D,55_64,female,white,HS Diploma,741327
A,75_84,female,hispanic,< Than HS Diploma,100421
L,25_34,female,islander,Some College,372
B,18_24,female,hispanic,Bachelor Degree,5535
F,35_44,male,white,< Than HS Diploma,124964
A,18_24,male,white,< Than HS Diploma,54461
L,85_120,male,white,Bachelor Degree,32523
F,25_34,female,black,< Than HS Diploma,27546
F,35_44,male,asian,HS Diploma,23135
F,85_120,female,asian,HS Diploma,2640
J,25_34,male,black,HS Diploma,8908
L,65_74,female,white,Graduate Degree,63147
C,35_44,female,asian,Some College,13444
I,25_34,male,black,HS Diploma,12417
K,45_54,male,hispanic,Bachelor Degree,7359
E,85_120,male,black,Graduate Degree,6059
A,85_120,male,white,Some College,51949
B,65_74,female,hispanic,< Than HS Diploma,102467
I,35_44,female,black,< Than HS Diploma,1450
I,75_84,female,hispanic,HS Diploma,2649
K,85_120,male,black,HS Diploma,332
D,55_64,female,islander,Graduate Degree,66
G,45_54,male,white,Some College,355014
D,85_120,male,white,Bachelor Degree,81921
I,55_64,male,black,Graduate Degree,4019
D,18_24,male,asian,Graduate Degree,3621
D,35_44,male,hispanic,< Than HS Diploma,297924
D,85_120,female,hispanic,HS Diploma,9057
C,18_24,female,asian,Some College,10131
B,45_54,male,black,Graduate Degree,9159
J,18_24,male,asian,Some College,9150
A,65_74,male,asian,HS Diploma,7803
L,25_34,male,white,< Than HS Diploma,26860
L,55_64,male,black,< Than HS Diploma,1681
I,25_34,male,islander,Graduate Degree,145
A,75_84,male,islander,Graduate Degree,29
F,18_24,male,islander,Some College,807
K,18_24,male,black,< Than HS Diploma,675
B,18_24,female,white,Some College,297576
H,65_74,female,black,HS Diploma,9761
G,55_64,male,hispanic,HS Diploma,54380
I,45_54,female,hispanic,Bachelor Degree,6052
H,45_54,male,white,Graduate Degree,216612
B,25_34,female,white,Some College,500872
E,55_64,female,hispanic,Graduate Degree,23274
J,18_24,female,asian,Bachelor Degree,6877
K,55_64,male,islander,Graduate Degree,51
L,75_84,male,asian,Bachelor Degree,7621
H,65_74,female,black,Some College,5575
D,18_24,female,black,Bachelor Degree,19523
L,25_34,male,black,HS Diploma,7927
F,18_24,female,islander,Some College,801
E,75_84,male,hispanic,Graduate Degree,7546
J,85_120,female,islander,Bachelor Degree,4
J,65_74,male,islander,Bachelor Degree,9
E,18_24,male,asian,Some College,32701
C,45_54,female,asian,Bachelor Degree,7799
C,35_44,female,hispanic,Graduate Degree,11374
C,25_34,female,islander,Graduate Degree,196
F,55_64,female,white,Bachelor Degree,422651
G,65_74,female,white,Bachelor Degree,272697
A,18_24,male,black,Some College,113469
A,55_64,female,white,< Than HS Diploma,96483
I,55_64,female,hispanic,Some College,6470
B,55_64,male,hispanic,Graduate Degree,3322
L,35_44,female,islander,Bachelor Degree,211
C,85_120,male,islander,Bachelor Degree,4
D,65_74,female,white,Graduate Degree,135309
J,35_44,female,black,Some College,14045
K,75_84,male,asian,Bachelor Degree,3898
A,75_84,male,hispanic,< Than HS Diploma,56808
I,35_44,male,black,Some College,12056
U,35_44,female,black,Some College,2
D,85_120,male,asian,Bachelor Degree,4673
B,75_84,male,white,Bachelor Degree,58357
L,25_34,male,hispanic,Bachelor Degree,11673
B,45_54,male,black,Bachelor Degree,10461
B,35_44,female,asian,< Than HS Diploma,3256
D,45_54,female,hispanic,HS Diploma,102516
B,35_44,female,white,Graduate Degree,57589
E,65_74,female,black,Graduate Degree,19301
H,25_34,female,hispanic,< Than HS Diploma,88682
C,18_24,female,asian,Bachelor Degree,3887
L,85_120,male,white,< Than HS Diploma,6002
J,45_54,male,hispanic,HS Diploma,19787
C,65_74,male,islander,Bachelor Degree,11
B,85_120,male,islander,HS Diploma,26
U,45_54,male,black,< Than HS Diploma,2
G,45_54,female,black,HS Diploma,34892
H,35_44,female,white,Some College,441093
H,35_44,male,hispanic,Bachelor Degree,22928
K,75_84,male,asian,Some College,1056
K,85_120,female,islander,Graduate Degree,2
F,55_64,female,white,< Than HS Diploma,56494
L,18_24,female,hispanic,< Than HS Diploma,5612
C,35_44,male,black,Some College,46097
C,75_84,male,islander,Graduate Degree,48
H,18_24,male,islander,Bachelor Degree,48
L,25_34,male,white,Bachelor Degree,335447
A,55_64,male,white,Bachelor Degree,63023
H,35_44,male,hispanic,< Than HS Diploma,50890
E,25_34,female,asian,Graduate Degree,31101
K,65_74,male,asian,HS Diploma,1016
J,18_24,male,islander,Graduate Degree,18
J,18_24,male,white,Bachelor Degree,25947
L,45_54,male,asian,Graduate Degree,41672
B,45_54,female,hispanic,Bachelor Degree,7115
K,85_120,female,asian,HS Diploma,260
