income_code,age_range,gender,ethnicity,education,population
L,35_44,female,white,HS Diploma,30835
K,85_120,female,white,Some College,12421
B,75_84,male,hispanic,HS Diploma,8919
F,35_44,female,hispanic,< Than HS Diploma,65549
C,65_74,female,black,Bachelor Degree,18168
I,25_34,female,black,< Than HS Diploma,5166
A,75_84,female,white,Graduate Degree,66691
L,75_84,female,asian,Bachelor Degree,8767
G,85_120,male,black,Some College,2059
D,55_64,male,hispanic,Bachelor Degree,7982
C,45_54,female,asian,Some College,9299
K,18_24,male,hispanic,Bachelor Degree,700
I,55_64,female,islander,Some College,77
I,18_24,male,black,Some College,16080
H,18_24,female,black,< Than HS Diploma,4055
G,55_64,female,asian,Graduate Degree,10606
A,18_24,female,islander,< Than HS Diploma,97
K,85_120,male,islander,< Than HS Diploma,4
E,25_34,female,white,Some College,1186959
E,18_24,male,black,Some College,192586
I,35_44,female,hispanic,< Than HS Diploma,12118
A,75_84,male,white,Some College,101519
D,45_54,male,white,Some College,381027
K,45_54,female,asian,Graduate Degree,27260
G,45_54,female,hispanic,Graduate Degree,11693
F,75_84,female,black,HS Diploma,23659
D,55_64,female,black,Bachelor Degree,38410
E,85_120,male,black,Some College,8780
L,75_84,female,black,Graduate Degree,1608
A,25_34,female,islander,Bachelor Degree,231
J,85_120,male,black,HS Diploma,587
J,85_120,female,asian,< Than HS Diploma,268
J,35_44,female,white,< Than HS Diploma,9141
K,35_44,female,white,Bachelor Degree,226024
I,65_74,female,white,Bachelor Degree,97671
D,18_24,male,hispanic,< Than HS Diploma,88117
A,25_34,male,black,Bachelor Degree,27106
C,18_24,female,islander,Bachelor Degree,46
D,55_64,male,black,Bachelor Degree,27421
J,45_54,male,black,Graduate Degree,9761
L,35_44,female,black,HS Diploma,3463
B,85_120,female,asian,Some College,2565
H,25_34,female,islander,Some College,704
D,85_120,female,white,HS Diploma,335122
F,25_34,female,white,Bachelor Degree,569769
A,45_54,male,white,Some College,182767
K,75_84,female,white,Some College,24372
D,75_84,female,hispanic,Graduate Degree,6259
J,65_74,female,hispanic,HS Diploma,3513
A,85_120,male,islander,Some College,15
E,65_74,female,asian,Graduate Degree,6235
K,55_64,female,white,< Than HS Diploma,4763
B,35_44,male,asian,< Than HS Diploma,3912
E,65_74,male,white,Bachelor Degree,379100
I,55_64,female,white,Graduate Degree,59629
C,55_64,female,islander,HS Diploma,398
H,65_74,female,islander,Bachelor Degree,37
I,55_64,male,islander,< Than HS Diploma,4
E,85_120,male,hispanic,Graduate Degree,3080
I,25_34,female,hispanic,< Than HS Diploma,67052
E,75_84,female,black,< Than HS Diploma,25661
H,35_44,female,hispanic,Graduate Degree,14909
F,18_24,male,asian,HS Diploma,5458
B,45_54,male,hispanic,Bachelor Degree,2702
I,85_120,female,asian,Bachelor Degree,1676
F,65_74,male,islander,Graduate Degree,112
C,55_64,male,islander,Graduate Degree,24
H,18_24,male,islander,< Than HS Diploma,11
F,75_84,female,asian,Some College,5322
G,45_54,female,hispanic,Some College,24068
J,65_74,male,hispanic,Bachelor Degree,928
K,25_34,male,islander,HS Diploma,86
F,18_24,male,black,Some College,108748
A,75_84,female,black,Graduate Degree,10564
J,45_54,female,hispanic,Graduate Degree,10905
G,45_54,male,asian,Bachelor Degree,32206
L,65_74,female,hispanic,< Than HS Diploma,5511
B,45_54,male,islander,< Than HS Diploma,33
K,65_74,female,islander,Graduate Degree,11
A,65_74,male,hispanic,HS Diploma,14148
F,85_120,female,black,Graduate Degree,2539
B,25_34,female,white,Graduate Degree,150313
C,45_54,male,asian,Bachelor Degree,5856
A,55_64,female,islander,HS Diploma,513
L,75_84,female,islander,Bachelor Degree,37
F,75_84,male,asian,HS Diploma,6123
F,65_74,male,asian,HS Diploma,13677
F,18_24,male,black,< Than HS Diploma,13180
J,18_24,female,black,Graduate Degree,2482
D,25_34,male,hispanic,< Than HS Diploma,613378
E,35_44,male,black,Some College,180600
J,18_24,female,asian,Some College,8147
L,85_120,male,white,Some College,19888
D,45_54,female,hispanic,Bachelor Degree,14527
L,55_64,male,white,Some College,130376
A,35_44,male,black,Some College,64051
H,35_44,male,hispanic,HS Diploma,36524
B,75_84,female,hispanic,HS Diploma,20530
U,25_34,male,white,Some College,35
C,75_84,female,islander,Graduate Degree,46
L,45_54,male,white,HS Diploma,57805
I,75_84,female,hispanic,Graduate Degree,1593
H,85_120,male,black,HS Diploma,1243
C,45_54,female,black,HS Diploma,137126
H,75_84,male,hispanic,< Than HS Diploma,8444
E,25_34,female,hispanic,Bachelor Degree,39213
B,35_44,male,asian,Some College,9088
E,25_34,female,asian,HS Diploma,46981
L,65_74,male,hispanic,HS Diploma,4717
H,18_24,male,asian,< Than HS Diploma,420
F,55_64,male,islander,< Than HS Diploma,33
J,25_34,male,white,Bachelor Degree,150623
D,85_120,male,white,Some College,129917
D,25_34,male,hispanic,Some College,125609
L,65_74,male,asian,Some College,2495
K,25_34,male,hispanic,HS Diploma,25045
J,35_44,male,islander,Bachelor Degree,119
I,85_120,male,islander,Graduate Degree,9
U,45_54,male,asian,Bachelor Degree,2
G,35_44,male,white,Bachelor Degree,585088
H,45_54,female,black,Graduate Degree,18264
J,35_44,female,hispanic,Bachelor Degree,13193
K,75_84,male,asian,Graduate Degree,3612
A,18_24,female,hispanic,Graduate Degree,3606
I,18_24,male,hispanic,Graduate Degree,1683
K,75_84,female,black,Some College,979
H,55_64,male,islander,< Than HS Diploma,22
H,18_24,male,asian,HS Diploma,2842
E,45_54,male,black,< Than HS Diploma,59396
A,25_34,male,asian,Graduate Degree,19349
K,25_34,female,white,Graduate Degree,115570
H,65_74,male,white,HS Diploma,61455
L,35_44,female,hispanic,Graduate Degree,6314
F,35_44,female,asian,HS Diploma,15591
D,85_120,male,asian,HS Diploma,5438
D,85_120,male,hispanic,< Than HS Diploma,27476
A,55_64,female,white,Graduate Degree,69236
G,35_44,female,hispanic,HS Diploma,46147
B,18_24,female,asian,Graduate Degree,2605
J,45_54,male,islander,HS Diploma,64
E,35_44,female,islander,Graduate Degree,125
C,65_74,female,white,< Than HS Diploma,133287
C,25_34,female,white,< Than HS Diploma,145240
H,25_34,male,black,Some College,35897
J,65_74,female,white,HS Diploma,28448
B,35_44,female,asian,Bachelor Degree,15030
A,55_64,male,asian,HS Diploma,12047
E,55_64,male,asian,< Than HS Diploma,6446
J,25_34,female,hispanic,Bachelor Degree,8059
A,75_84,male,asian,HS Diploma,5669
C,65_74,female,white,Some College,211099
E,18_24,female,hispanic,Some College,120714
J,65_74,male,black,Some College,1036
H,45_54,female,islander,< Than HS Diploma,11
L,18_24,female,islander,Graduate Degree,13
B,18_24,male,islander,Graduate Degree,13
E,45_54,male,white,Some College,957990
C,18_24,female,hispanic,HS Diploma,37226
F,65_74,female,hispanic,Some College,12740
G,18_24,male,hispanic,Graduate Degree,4895
F,45_54,female,islander,< Than HS Diploma,22
U,35_44,female,black,< Than HS Diploma,2
C,75_84,male,black,HS Diploma,53451
F,45_54,female,black,Graduate Degree,26864
J,85_120,female,white,Graduate Degree,10067
L,25_34,male,white,Graduate Degree,318206
H,25_34,male,black,Bachelor Degree,23142
B,85_120,female,hispanic,Some College,3502
L,75_84,male,asian,Graduate Degree,8213
A,45_54,male,islander,HS Diploma,205
C,85_120,female,hispanic,HS Diploma,10083
A,35_44,female,black,Bachelor Degree,81587
D,55_64,female,black,Graduate Degree,22823
D,85_120,male,black,HS Diploma,23731
I,25_34,female,hispanic,HS Diploma,46633
J,18_24,male,black,Some College,11653
G,35_44,male,islander,HS Diploma,145
K,18_24,male,asian,Some College,10188
